target_title,target_id,target_type,score,status,rewatches,episodes,text
Koukaku Kidoutai Arise: Ghost in the Shell - Border:3 Ghost Tears,19193,Anime,0,completed,0,1,
Koukaku Kidoutai Nyuumon Arise,22013,Anime,0,completed,0,26,
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,19191,Anime,0,completed,0,1,
Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials,21575,Anime,0,completed,0,4,
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,17187,Anime,0,completed,0,1,
Koukaku Kidoutai Arise: Another Mission,18989,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D - Tachikoma na Hibi,10950,Anime,0,completed,0,3,
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,10090,Anime,0,completed,0,1,
Koukaku Kidoutai 2.0,4672,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,3447,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),10870,Anime,0,completed,0,12,
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,1566,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma na Hibi,10948,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,2448,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man - Tachikoma na Hibi,10947,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,2449,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,3485,Anime,0,completed,0,26,
Innocence,468,Anime,0,completed,0,1,
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi - Interval,10949,Anime,0,completed,0,3,
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,801,Anime,0,completed,0,26,
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,1335,Anime,0,completed,0,26,
Koukaku Kidoutai: Stand Alone Complex,467,Anime,0,completed,0,26,
Fullmetal Alchemist: Brotherhood Specials,6421,Anime,0,completed,0,4,
Fullmetal Alchemist: The Sacred Star of Milos,9135,Anime,0,completed,0,1,
Durarara!!x2 Ketsu: Dufufufu!!,32915,Anime,0,completed,0,1,
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,30191,Anime,0,completed,0,1,
Durarara!!x2 Ketsu,27833,Anime,0,completed,0,12,
Durarara!!x2 Ten: Onoroke Chakapoko,31552,Anime,0,completed,0,1,
Durarara!!x2 Ten,27831,Anime,0,completed,0,12,
Blood-C: The Last Dark,10681,Anime,0,completed,0,1,
Blood-C,10490,Anime,0,completed,0,12,
Blood-C: Special Edition,14117,Anime,0,completed,0,2,
Jigoku Shoujo: Yoi no Togi,34966,Anime,0,planned,0,0,
D.C. I&II P.S.P. Re-Animated,9353,Anime,0,completed,0,1,
Shingeki no Kyojin,16498,Anime,0,completed,0,25,
